lead_id,fecha_contacto,canal_origen,producto_interesado,ejecutivo_asignado_id,estado_lead
1242,2025-06-28,App,Préstamo personal,6,Nuevo
1243,2025-06-22,Presencial,Préstamo personal,13,Convertido
1244,2025-04-09,App,Tarjeta de crédito,8,Convertido
1245,2025-04-24,Presencial,Préstamo personal,16,En gestión
1246,2025-06-07,App,Cuenta sueldo,10,En gestión
1247,2025-05-27,Call center,Tarjeta de crédito,8,Convertido
1248,2025-04-16,Presencial,Préstamo personal,4,En gestión
1249,2025-05-06,Call center,Préstamo personal,5,Convertido
1250,2025-05-05,App,Cuenta sueldo,10,En gestión
1251,2025-04-30,App,Tarjeta de crédito,2,Convertido
1252,2025-05-02,Call center,Tarjeta de crédito,13,En gestión
1253,2025-04-01,Web,Tarjeta de crédito,16,Convertido
1254,2025-05-29,App,Préstamo personal,6,Convertido
1255,2025-06-28,App,Préstamo personal,18,Nuevo
1256,2025-05-14,Web,Tarjeta de crédito,3,Convertido
1257,2025-05-15,Web,Préstamo personal,7,En gestión
1258,2025-05-22,App,Cuenta sueldo,18,En gestión
1259,2025-05-29,App,Tarjeta de crédito,6,Perdido
1260,2025-04-05,Presencial,Tarjeta de crédito,7,Convertido
1261,2025-04-02,Web,Préstamo personal,13,Convertido
1262,2025-05-19,Web,Cuenta sueldo,8,Nuevo
1263,2025-04-01,Web,Tarjeta de crédito,13,Nuevo
1264,2025-06-24,Presencial,Cuenta sueldo,3,Nuevo
1265,2025-06-03,Call center,Cuenta sueldo,1,Convertido
1266,2025-04-25,Call center,Cuenta sueldo,20,Convertido
1267,2025-05-11,Call center,Cuenta sueldo,4,En gestión
1268,2025-04-29,Call center,Tarjeta de crédito,10,En gestión
1269,2025-04-02,App,Tarjeta de crédito,18,En gestión
1270,2025-05-16,Presencial,Préstamo personal,18,Convertido
1271,2025-04-30,Presencial,Préstamo personal,4,En gestión
1272,2025-04-01,Web,Tarjeta de crédito,8,En gestión
1273,2025-05-29,Call center,Préstamo personal,4,Convertido
1274,2025-04-25,App,Cuenta sueldo,16,Convertido
1275,2025-05-18,Call center,Préstamo personal,19,Convertido
1276,2025-06-10,Call center,Tarjeta de crédito,11,Convertido
1277,2025-05-28,Call center,Cuenta sueldo,9,Convertido
1278,2025-05-07,App,Tarjeta de crédito,15,Convertido
1279,2025-05-22,Call center,Préstamo personal,3,En gestión
1280,2025-06-21,Web,Cuenta sueldo,17,Convertido
1281,2025-04-23,Web,Cuenta sueldo,14,En gestión
1282,2025-05-08,Call center,Cuenta sueldo,18,En gestión
1283,2025-05-13,Web,Tarjeta de crédito,4,En gestión
1284,2025-05-10,Presencial,Préstamo personal,9,Convertido
1285,2025-04-05,Presencial,Préstamo personal,7,Convertido
1286,2025-04-23,Presencial,Tarjeta de crédito,15,En gestión
1287,2025-06-28,Presencial,Préstamo personal,5,Nuevo
1288,2025-06-19,Call center,Cuenta sueldo,11,En gestión
1289,2025-04-25,App,Tarjeta de crédito,3,Perdido
1290,2025-06-20,Web,Tarjeta de crédito,7,Nuevo
1291,2025-05-20,Web,Préstamo personal,15,En gestión
1292,2025-04-26,Web,Préstamo personal,15,Convertido
1293,2025-06-22,App,Tarjeta de crédito,1,Perdido
1294,2025-04-27,Presencial,Tarjeta de crédito,14,Convertido
1295,2025-04-22,App,Cuenta sueldo,19,Nuevo
1296,2025-05-06,App,Tarjeta de crédito,6,En gestión
1297,2025-06-01,Web,Cuenta sueldo,17,Convertido
