lead_id,fecha_contacto,canal_origen,producto_interesado,ejecutivo_asignado_id,estado_lead
664,2025-05-09,Call center,Tarjeta de crédito,7,Nuevo
665,2025-06-06,App,Préstamo personal,2,En gestión
666,2025-05-07,Call center,Préstamo personal,11,Nuevo
667,2025-04-28,Presencial,Préstamo personal,2,Convertido
668,2025-06-07,Presencial,Cuenta sueldo,8,Convertido
669,2025-04-02,App,Préstamo personal,8,Convertido
670,2025-04-14,Web,Tarjeta de crédito,3,Perdido
671,2025-04-10,Web,Préstamo personal,5,Perdido
672,2025-06-17,App,Cuenta sueldo,6,Convertido
673,2025-06-08,App,Préstamo personal,3,En gestión
674,2025-04-18,Call center,Tarjeta de crédito,6,Convertido
675,2025-06-26,Call center,Préstamo personal,7,En gestión
676,2025-05-11,Call center,Cuenta sueldo,12,En gestión
677,2025-04-06,App,Tarjeta de crédito,15,En gestión
678,2025-06-22,Call center,Cuenta sueldo,16,Nuevo
679,2025-06-19,Call center,Tarjeta de crédito,3,Convertido
680,2025-04-10,App,Préstamo personal,6,En gestión
681,2025-06-15,Call center,Tarjeta de crédito,15,En gestión
682,2025-06-26,Call center,Cuenta sueldo,11,Nuevo
683,2025-05-05,Call center,Cuenta sueldo,5,Perdido
684,2025-06-15,Web,Cuenta sueldo,17,Convertido
685,2025-04-12,Presencial,Tarjeta de crédito,16,En gestión
686,2025-05-05,Web,Tarjeta de crédito,2,Perdido
687,2025-04-09,Web,Tarjeta de crédito,19,Nuevo
688,2025-04-01,Call center,Tarjeta de crédito,12,Convertido
689,2025-05-18,Call center,Tarjeta de crédito,8,En gestión
690,2025-04-30,Web,Tarjeta de crédito,1,Convertido
691,2025-05-04,App,Tarjeta de crédito,8,Convertido
692,2025-06-07,Web,Cuenta sueldo,3,Convertido
693,2025-05-26,Web,Préstamo personal,7,Convertido
694,2025-04-24,Presencial,Préstamo personal,18,Convertido
695,2025-06-08,Web,Cuenta sueldo,19,Convertido
696,2025-06-17,Call center,Préstamo personal,10,Nuevo
697,2025-04-25,App,Tarjeta de crédito,1,Nuevo
698,2025-05-05,Call center,Préstamo personal,14,Convertido
699,2025-04-25,App,Cuenta sueldo,16,Nuevo
700,2025-04-03,Web,Tarjeta de crédito,19,Convertido
701,2025-04-28,App,Cuenta sueldo,9,Perdido
702,2025-04-08,Call center,Tarjeta de crédito,20,Nuevo
703,2025-05-13,App,Cuenta sueldo,10,Nuevo
704,2025-05-28,Web,Tarjeta de crédito,3,En gestión
705,2025-04-23,App,Tarjeta de crédito,16,Convertido
706,2025-06-21,Web,Préstamo personal,19,Convertido
707,2025-04-14,Web,Tarjeta de crédito,20,Convertido
708,2025-04-23,Call center,Tarjeta de crédito,11,Convertido
709,2025-06-04,App,Tarjeta de crédito,13,En gestión
710,2025-05-20,Web,Tarjeta de crédito,11,Convertido
711,2025-05-10,Call center,Préstamo personal,5,Nuevo
712,2025-05-15,Web,Préstamo personal,9,Perdido
713,2025-04-14,App,Tarjeta de crédito,15,Convertido
714,2025-05-26,Web,Préstamo personal,11,Nuevo
715,2025-04-16,Presencial,Cuenta sueldo,11,Convertido
716,2025-06-12,Presencial,Tarjeta de crédito,16,Perdido
717,2025-05-20,Web,Préstamo personal,13,En gestión
718,2025-06-20,App,Préstamo personal,5,Convertido
719,2025-04-29,Web,Cuenta sueldo,16,Convertido
720,2025-04-04,Call center,Cuenta sueldo,15,Perdido
721,2025-04-22,Call center,Préstamo personal,18,En gestión
722,2025-06-18,App,Cuenta sueldo,3,Nuevo
723,2025-06-22,Web,Cuenta sueldo,11,Perdido
724,2025-04-21,Presencial,Cuenta sueldo,9,Convertido
725,2025-04-21,App,Préstamo personal,16,Nuevo
726,2025-04-12,Presencial,Cuenta sueldo,19,Convertido
727,2025-06-26,Call center,Préstamo personal,18,Perdido
728,2025-06-13,Call center,Cuenta sueldo,8,En gestión
729,2025-04-30,Presencial,Cuenta sueldo,4,Nuevo
730,2025-06-24,App,Préstamo personal,4,Convertido
731,2025-05-04,Call center,Préstamo personal,1,En gestión
732,2025-05-23,App,Tarjeta de crédito,14,En gestión
733,2025-05-04,Presencial,Préstamo personal,5,Convertido
734,2025-04-28,Call center,Tarjeta de crédito,5,Convertido
735,2025-05-26,Presencial,Cuenta sueldo,2,Convertido
736,2025-05-06,Call center,Préstamo personal,7,En gestión
737,2025-06-27,Call center,Cuenta sueldo,11,Nuevo
738,2025-05-25,App,Préstamo personal,8,Convertido
739,2025-06-06,App,Tarjeta de crédito,13,En gestión
740,2025-06-24,App,Cuenta sueldo,18,En gestión
741,2025-05-12,Call center,Préstamo personal,16,Perdido
742,2025-05-06,Call center,Tarjeta de crédito,3,Convertido
743,2025-05-02,Call center,Cuenta sueldo,5,En gestión
744,2025-04-27,Web,Préstamo personal,10,En gestión
745,2025-06-15,App,Préstamo personal,5,En gestión
746,2025-04-20,Call center,Tarjeta de crédito,5,En gestión
747,2025-05-09,App,Préstamo personal,1,En gestión
748,2025-04-01,Web,Préstamo personal,5,En gestión
749,2025-05-15,Call center,Préstamo personal,6,Perdido
750,2025-05-10,Web,Tarjeta de crédito,16,Nuevo
751,2025-05-04,Web,Cuenta sueldo,17,Convertido
752,2025-06-04,App,Cuenta sueldo,4,En gestión
753,2025-05-19,Call center,Tarjeta de crédito,20,Perdido
754,2025-05-05,Call center,Préstamo personal,3,Convertido
755,2025-05-29,Presencial,Préstamo personal,15,En gestión
756,2025-06-15,Web,Cuenta sueldo,3,Nuevo
757,2025-04-19,App,Cuenta sueldo,19,Convertido
758,2025-04-22,App,Tarjeta de crédito,16,Perdido
759,2025-05-09,Call center,Tarjeta de crédito,19,Nuevo
760,2025-05-22,Presencial,Cuenta sueldo,18,Nuevo
761,2025-04-04,Web,Tarjeta de crédito,18,Convertido
762,2025-06-05,Web,Cuenta sueldo,4,Nuevo
763,2025-04-02,App,Cuenta sueldo,18,En gestión
764,2025-06-17,Presencial,Cuenta sueldo,2,Nuevo
765,2025-04-23,App,Préstamo personal,6,Nuevo
766,2025-06-02,Presencial,Cuenta sueldo,3,Perdido
767,2025-06-20,Presencial,Tarjeta de crédito,18,Nuevo
768,2025-06-09,Web,Cuenta sueldo,10,Nuevo
769,2025-04-17,Presencial,Préstamo personal,18,En gestión
770,2025-05-01,Call center,Préstamo personal,11,Convertido
771,2025-04-27,App,Préstamo personal,4,Convertido
772,2025-05-27,App,Tarjeta de crédito,7,Perdido
773,2025-06-11,App,Préstamo personal,12,En gestión
774,2025-04-05,Call center,Cuenta sueldo,18,En gestión
775,2025-05-19,Call center,Préstamo personal,6,En gestión
776,2025-04-25,Web,Tarjeta de crédito,14,Perdido
777,2025-06-02,App,Préstamo personal,7,Nuevo
778,2025-06-19,Presencial,Préstamo personal,7,Convertido
779,2025-04-17,Call center,Cuenta sueldo,11,Perdido
780,2025-06-27,Call center,Tarjeta de crédito,1,Perdido
781,2025-05-03,App,Cuenta sueldo,9,Nuevo
782,2025-04-15,Web,Préstamo personal,18,En gestión
783,2025-05-18,Presencial,Préstamo personal,3,En gestión
784,2025-06-03,Presencial,Tarjeta de crédito,5,Convertido
785,2025-05-22,App,Tarjeta de crédito,4,Convertido
786,2025-06-06,Presencial,Préstamo personal,16,Nuevo
787,2025-04-23,Presencial,Préstamo personal,19,Convertido
788,2025-04-14,Call center,Cuenta sueldo,12,Convertido
789,2025-05-15,Call center,Tarjeta de crédito,19,Nuevo
790,2025-05-13,Web,Préstamo personal,17,Convertido
791,2025-05-28,Web,Préstamo personal,12,Convertido
792,2025-05-30,Call center,Tarjeta de crédito,15,Convertido
793,2025-06-10,App,Tarjeta de crédito,3,Perdido
