oportunidad_id,lead_id,fecha_oportunidad,estado_oportunidad,producto_ofertado,monto_estimado
1,1,2025-06-25,Perdida,Tarjeta de crédito,3922.08
2,2,2025-04-28,Ganada,Cuenta sueldo,2696.1
3,3,2025-05-04,Ganada,Tarjeta de crédito,2270.97
4,6,2025-04-10,Ganada,Cuenta sueldo,3372.1
5,7,2025-05-04,Perdida,Préstamo personal,8241.16
6,10,2025-04-04,Ganada,Préstamo personal,4464.67
7,12,2025-05-10,Ganada,Cuenta sueldo,2421.95
8,13,2025-04-29,Ganada,Tarjeta de crédito,2001.46
9,14,2025-05-26,Abierta,Cuenta sueldo,780.09
10,17,2025-04-07,Ganada,Cuenta sueldo,6317.44
11,18,2025-06-10,Ganada,Tarjeta de crédito,5272.08
12,22,2025-05-20,Abierta,Préstamo personal,9307.48
13,23,2025-05-31,Perdida,Préstamo personal,8932.08
14,24,2025-05-25,Perdida,Tarjeta de crédito,7341.91
15,25,2025-06-09,Ganada,Préstamo personal,8819.94
16,26,2025-04-14,Ganada,Tarjeta de crédito,5609.76
17,29,2025-04-19,Perdida,Préstamo personal,4904.0
18,32,2025-06-25,Ganada,Cuenta sueldo,2418.35
19,33,2025-04-19,Abierta,Préstamo personal,1584.57
20,35,2025-04-29,Abierta,Préstamo personal,5728.29
21,36,2025-04-09,Ganada,Cuenta sueldo,1925.85
22,39,2025-05-27,Ganada,Cuenta sueldo,4857.11
23,44,2025-06-05,Ganada,Cuenta sueldo,8461.14
24,46,2025-04-01,Ganada,Cuenta sueldo,6152.21
25,49,2025-04-27,Abierta,Cuenta sueldo,4972.76
26,51,2025-06-04,Ganada,Préstamo personal,1538.37
27,53,2025-05-26,Ganada,Tarjeta de crédito,5963.86
28,55,2025-06-05,Ganada,Tarjeta de crédito,3259.64
29,56,2025-05-19,Ganada,Tarjeta de crédito,6345.43
30,57,2025-04-14,Ganada,Tarjeta de crédito,6585.87
31,58,2025-06-02,Ganada,Tarjeta de crédito,558.25
32,59,2025-05-30,Abierta,Préstamo personal,2168.48
33,63,2025-06-20,Ganada,Préstamo personal,7387.16
34,64,2025-04-28,Ganada,Cuenta sueldo,8936.28
35,66,2025-04-28,Ganada,Préstamo personal,4200.88
36,67,2025-05-31,Ganada,Préstamo personal,1324.58
37,69,2025-06-14,Perdida,Tarjeta de crédito,4715.85
38,72,2025-04-17,Perdida,Cuenta sueldo,6928.81
39,75,2025-05-14,Abierta,Tarjeta de crédito,7778.71
40,76,2025-05-14,Ganada,Cuenta sueldo,2493.53
41,77,2025-05-03,Ganada,Préstamo personal,3090.21
42,78,2025-06-01,Ganada,Préstamo personal,3828.02
43,80,2025-06-01,Abierta,Préstamo personal,775.43
44,82,2025-04-05,Perdida,Tarjeta de crédito,6479.97
45,89,2025-04-02,Perdida,Cuenta sueldo,4806.19
46,98,2025-05-30,Ganada,Préstamo personal,6794.82
47,99,2025-04-28,Ganada,Cuenta sueldo,1427.71
48,101,2025-04-04,Abierta,Tarjeta de crédito,2567.31
49,102,2025-05-30,Ganada,Préstamo personal,4803.26
50,103,2025-06-05,Ganada,Cuenta sueldo,5917.63
51,107,2025-06-07,Ganada,Cuenta sueldo,8681.85
52,108,2025-06-09,Ganada,Préstamo personal,4634.31
53,109,2025-04-14,Perdida,Cuenta sueldo,3922.73
54,112,2025-06-22,Perdida,Cuenta sueldo,1789.87
55,113,2025-04-23,Perdida,Préstamo personal,7106.21
56,116,2025-04-19,Ganada,Cuenta sueldo,8544.64
57,117,2025-04-11,Abierta,Tarjeta de crédito,859.72
58,121,2025-04-27,Ganada,Cuenta sueldo,6852.81
59,123,2025-05-10,Ganada,Tarjeta de crédito,7471.24
60,126,2025-06-20,Ganada,Préstamo personal,3271.66
61,127,2025-04-15,Perdida,Cuenta sueldo,3139.56
62,129,2025-05-22,Perdida,Cuenta sueldo,7520.19
63,131,2025-06-06,Perdida,Tarjeta de crédito,3757.06
64,133,2025-05-07,Ganada,Tarjeta de crédito,4681.76
65,134,2025-06-23,Abierta,Cuenta sueldo,2092.2
66,139,2025-05-15,Perdida,Cuenta sueldo,4601.97
67,142,2025-06-22,Ganada,Préstamo personal,6938.32
68,143,2025-05-08,Abierta,Préstamo personal,1428.14
69,146,2025-04-02,Perdida,Cuenta sueldo,9529.65
70,148,2025-06-28,Abierta,Tarjeta de crédito,1553.03
71,156,2025-06-05,Ganada,Cuenta sueldo,6332.68
72,158,2025-05-02,Abierta,Tarjeta de crédito,6583.19
73,163,2025-04-16,Perdida,Cuenta sueldo,3667.68
74,164,2025-04-27,Perdida,Tarjeta de crédito,1361.34
75,165,2025-06-18,Ganada,Cuenta sueldo,2429.64
76,170,2025-06-04,Ganada,Cuenta sueldo,9667.06
77,174,2025-05-25,Ganada,Cuenta sueldo,681.1
78,175,2025-05-08,Perdida,Cuenta sueldo,8297.02
79,180,2025-06-15,Ganada,Tarjeta de crédito,3687.29
80,181,2025-04-04,Ganada,Cuenta sueldo,9293.92
81,182,2025-04-14,Abierta,Cuenta sueldo,568.63
82,183,2025-06-04,Ganada,Préstamo personal,8170.41
83,184,2025-06-06,Ganada,Cuenta sueldo,9411.85
84,185,2025-05-31,Abierta,Préstamo personal,8351.59
85,188,2025-05-26,Perdida,Préstamo personal,5321.64
86,190,2025-06-05,Perdida,Cuenta sueldo,5006.92
87,196,2025-05-14,Ganada,Préstamo personal,2388.14
88,198,2025-04-26,Ganada,Préstamo personal,2596.3
89,201,2025-05-15,Perdida,Préstamo personal,2421.0
90,204,2025-04-21,Ganada,Tarjeta de crédito,8000.7
91,205,2025-06-17,Abierta,Préstamo personal,8641.25
92,207,2025-06-03,Ganada,Tarjeta de crédito,2843.21
93,212,2025-05-12,Ganada,Cuenta sueldo,4362.87
94,214,2025-05-26,Ganada,Cuenta sueldo,731.93
95,216,2025-06-04,Abierta,Préstamo personal,6459.4
96,217,2025-06-11,Ganada,Préstamo personal,7652.44
97,218,2025-06-15,Ganada,Préstamo personal,9356.31
98,221,2025-04-17,Ganada,Préstamo personal,7848.97
99,222,2025-06-12,Ganada,Préstamo personal,7646.63
100,223,2025-04-14,Ganada,Tarjeta de crédito,4517.83
101,224,2025-06-26,Perdida,Tarjeta de crédito,4966.56
102,229,2025-06-11,Ganada,Tarjeta de crédito,6459.12
103,234,2025-05-29,Perdida,Tarjeta de crédito,3411.7
104,238,2025-06-16,Ganada,Cuenta sueldo,6830.38
105,239,2025-05-06,Ganada,Cuenta sueldo,4011.89
106,241,2025-04-03,Abierta,Tarjeta de crédito,3364.82
107,242,2025-04-12,Perdida,Tarjeta de crédito,9314.21
108,245,2025-05-30,Ganada,Préstamo personal,9261.77
109,246,2025-04-16,Abierta,Cuenta sueldo,735.56
110,248,2025-04-04,Ganada,Préstamo personal,9388.82
111,249,2025-04-10,Perdida,Préstamo personal,9770.48
112,255,2025-06-01,Ganada,Préstamo personal,8153.89
113,256,2025-06-03,Abierta,Cuenta sueldo,3380.7
114,257,2025-04-16,Abierta,Cuenta sueldo,4389.88
115,258,2025-04-15,Ganada,Tarjeta de crédito,7674.82
116,261,2025-06-25,Abierta,Cuenta sueldo,3351.61
117,264,2025-06-23,Ganada,Tarjeta de crédito,5064.62
118,266,2025-04-15,Abierta,Tarjeta de crédito,4879.92
119,269,2025-04-30,Ganada,Préstamo personal,2240.85
120,270,2025-04-18,Perdida,Préstamo personal,7007.19
121,275,2025-05-31,Perdida,Cuenta sueldo,5493.7
122,279,2025-05-27,Ganada,Préstamo personal,7244.0
123,280,2025-06-18,Abierta,Cuenta sueldo,2652.46
124,284,2025-04-08,Ganada,Préstamo personal,9131.03
125,290,2025-04-04,Perdida,Préstamo personal,2131.85
126,296,2025-06-01,Ganada,Tarjeta de crédito,885.78
127,297,2025-05-03,Ganada,Tarjeta de crédito,9773.7
128,303,2025-05-06,Perdida,Tarjeta de crédito,1666.24
129,309,2025-04-24,Perdida,Cuenta sueldo,4135.01
130,310,2025-06-03,Abierta,Cuenta sueldo,1226.91
131,316,2025-05-01,Ganada,Cuenta sueldo,8904.65
132,318,2025-04-03,Ganada,Préstamo personal,5936.0
133,320,2025-05-25,Ganada,Préstamo personal,9788.94
134,329,2025-05-11,Perdida,Cuenta sueldo,4088.51
135,333,2025-05-23,Perdida,Cuenta sueldo,1215.55
136,335,2025-04-03,Abierta,Cuenta sueldo,8519.78
137,338,2025-05-11,Ganada,Préstamo personal,6802.84
138,339,2025-05-30,Ganada,Tarjeta de crédito,5701.84
139,341,2025-05-27,Perdida,Tarjeta de crédito,9114.94
140,343,2025-06-27,Ganada,Cuenta sueldo,8519.16
141,344,2025-04-23,Ganada,Préstamo personal,3226.92
142,346,2025-04-11,Ganada,Cuenta sueldo,5111.13
