oportunidad_id,lead_id,fecha_oportunidad,estado_oportunidad,producto_ofertado,monto_estimado
263,667,2025-04-28,Perdida,Préstamo personal,6656.44
264,668,2025-06-07,Ganada,Cuenta sueldo,2801.37
265,669,2025-04-02,Ganada,Préstamo personal,3555.55
266,672,2025-06-17,Perdida,Cuenta sueldo,9352.22
267,674,2025-04-18,Ganada,Tarjeta de crédito,2176.14
268,679,2025-06-19,Perdida,Tarjeta de crédito,6154.24
269,684,2025-06-15,Ganada,Cuenta sueldo,4343.27
270,688,2025-04-01,Ganada,Tarjeta de crédito,7040.65
271,690,2025-04-30,Ganada,Tarjeta de crédito,2982.64
272,691,2025-05-04,Perdida,Tarjeta de crédito,8494.4
273,692,2025-06-07,Perdida,Cuenta sueldo,4277.84
274,693,2025-05-26,Abierta,Préstamo personal,4555.28
275,694,2025-04-24,Ganada,Préstamo personal,3425.8
276,695,2025-06-08,Ganada,Cuenta sueldo,1855.78
277,698,2025-05-05,Ganada,Préstamo personal,2121.03
278,700,2025-04-03,Abierta,Tarjeta de crédito,1060.33
279,705,2025-04-23,Abierta,Tarjeta de crédito,1080.04
280,706,2025-06-21,Abierta,Préstamo personal,2505.15
281,707,2025-04-14,Perdida,Tarjeta de crédito,3025.44
282,708,2025-04-23,Ganada,Tarjeta de crédito,6977.67
283,710,2025-05-20,Abierta,Tarjeta de crédito,8770.14
284,713,2025-04-14,Ganada,Tarjeta de crédito,5014.39
285,715,2025-04-16,Ganada,Cuenta sueldo,5103.09
286,718,2025-06-20,Perdida,Préstamo personal,7956.19
287,719,2025-04-29,Ganada,Cuenta sueldo,6894.09
288,724,2025-04-21,Perdida,Cuenta sueldo,6870.71
289,726,2025-04-12,Ganada,Cuenta sueldo,6617.87
290,730,2025-06-24,Abierta,Préstamo personal,3477.04
291,733,2025-05-04,Ganada,Préstamo personal,2610.34
292,734,2025-04-28,Ganada,Tarjeta de crédito,2579.59
293,735,2025-05-26,Ganada,Cuenta sueldo,9908.18
294,738,2025-05-25,Abierta,Préstamo personal,8721.6
295,742,2025-05-06,Ganada,Tarjeta de crédito,7115.57
296,751,2025-05-04,Ganada,Cuenta sueldo,9712.41
297,754,2025-05-05,Perdida,Préstamo personal,6677.95
298,757,2025-04-19,Ganada,Cuenta sueldo,3100.39
299,761,2025-04-04,Ganada,Tarjeta de crédito,5535.83
300,770,2025-05-01,Perdida,Préstamo personal,3845.11
301,771,2025-04-27,Abierta,Préstamo personal,848.97
302,778,2025-06-19,Ganada,Préstamo personal,6653.83
303,784,2025-06-03,Ganada,Tarjeta de crédito,593.7
304,785,2025-05-22,Abierta,Tarjeta de crédito,5501.52
305,787,2025-04-23,Ganada,Préstamo personal,6270.94
306,788,2025-04-14,Ganada,Cuenta sueldo,7993.1
307,790,2025-05-13,Ganada,Préstamo personal,1855.37
308,791,2025-05-28,Ganada,Préstamo personal,6282.68
309,792,2025-05-30,Ganada,Tarjeta de crédito,4563.77
310,794,2025-05-01,Abierta,Tarjeta de crédito,2780.35
311,796,2025-06-27,Abierta,Préstamo personal,9509.77
312,797,2025-05-28,Perdida,Tarjeta de crédito,8936.77
313,798,2025-06-24,Perdida,Tarjeta de crédito,7586.21
314,799,2025-04-28,Ganada,Préstamo personal,7520.34
315,804,2025-04-02,Perdida,Tarjeta de crédito,8649.16
316,807,2025-06-10,Abierta,Préstamo personal,4899.04
317,812,2025-06-07,Ganada,Préstamo personal,9174.54
318,814,2025-06-11,Ganada,Tarjeta de crédito,3060.08
319,816,2025-04-26,Ganada,Cuenta sueldo,1551.32
320,824,2025-05-13,Ganada,Tarjeta de crédito,3249.93
321,826,2025-04-21,Perdida,Cuenta sueldo,9945.44
322,828,2025-04-12,Abierta,Préstamo personal,8621.28
323,832,2025-04-11,Ganada,Tarjeta de crédito,9811.18
324,840,2025-06-03,Ganada,Préstamo personal,1737.93
325,841,2025-06-02,Ganada,Préstamo personal,6677.36
326,842,2025-06-11,Ganada,Cuenta sueldo,889.87
327,845,2025-06-19,Abierta,Cuenta sueldo,2321.21
328,846,2025-05-16,Ganada,Préstamo personal,7314.6
329,847,2025-06-13,Abierta,Préstamo personal,3104.41
330,849,2025-06-27,Ganada,Préstamo personal,7004.6
331,852,2025-05-07,Ganada,Cuenta sueldo,584.18
332,862,2025-05-15,Ganada,Préstamo personal,9669.66
333,864,2025-04-05,Ganada,Préstamo personal,5733.34
334,865,2025-06-01,Perdida,Cuenta sueldo,4256.9
335,868,2025-04-29,Perdida,Cuenta sueldo,2213.86
336,874,2025-05-12,Ganada,Cuenta sueldo,915.53
337,876,2025-04-13,Ganada,Cuenta sueldo,7220.83
338,878,2025-04-17,Ganada,Cuenta sueldo,5664.32
339,885,2025-05-10,Abierta,Tarjeta de crédito,9271.54
340,887,2025-04-25,Ganada,Préstamo personal,1927.09
341,890,2025-05-29,Abierta,Cuenta sueldo,1903.91
342,891,2025-06-24,Abierta,Préstamo personal,4560.81
343,894,2025-04-21,Ganada,Tarjeta de crédito,8038.27
344,895,2025-06-24,Ganada,Tarjeta de crédito,5179.71
345,896,2025-06-04,Ganada,Cuenta sueldo,7877.63
346,901,2025-05-12,Abierta,Cuenta sueldo,1809.11
347,902,2025-04-05,Ganada,Tarjeta de crédito,1013.79
348,903,2025-05-28,Abierta,Tarjeta de crédito,3969.82
349,906,2025-04-28,Ganada,Préstamo personal,4409.46
350,908,2025-04-22,Abierta,Préstamo personal,8410.46
351,911,2025-05-20,Perdida,Tarjeta de crédito,1688.77
352,913,2025-04-30,Abierta,Cuenta sueldo,7078.05
353,914,2025-06-04,Abierta,Tarjeta de crédito,8131.72
354,916,2025-06-20,Ganada,Tarjeta de crédito,2775.53
355,922,2025-05-09,Ganada,Tarjeta de crédito,4211.09
356,923,2025-04-03,Ganada,Tarjeta de crédito,5270.68
357,924,2025-06-13,Abierta,Tarjeta de crédito,2031.62
358,926,2025-06-08,Abierta,Cuenta sueldo,9654.84
359,930,2025-05-09,Ganada,Cuenta sueldo,8144.9
360,933,2025-06-16,Ganada,Cuenta sueldo,1175.77
361,934,2025-06-16,Ganada,Tarjeta de crédito,9279.53
362,935,2025-05-01,Ganada,Cuenta sueldo,8641.51
363,937,2025-05-30,Ganada,Cuenta sueldo,8817.6
364,938,2025-05-14,Ganada,Préstamo personal,1968.34
365,939,2025-05-09,Ganada,Préstamo personal,8804.51
366,951,2025-05-16,Ganada,Cuenta sueldo,4487.36
367,956,2025-06-16,Ganada,Cuenta sueldo,1239.18
368,958,2025-04-19,Abierta,Cuenta sueldo,9714.77
369,959,2025-04-01,Perdida,Tarjeta de crédito,9461.58
370,960,2025-06-20,Ganada,Préstamo personal,846.62
371,964,2025-06-14,Ganada,Préstamo personal,4831.98
372,968,2025-06-20,Perdida,Préstamo personal,9105.89
373,971,2025-05-14,Perdida,Préstamo personal,6843.25
374,972,2025-05-10,Ganada,Cuenta sueldo,1587.76
375,974,2025-05-28,Ganada,Cuenta sueldo,3042.29
376,979,2025-06-20,Perdida,Cuenta sueldo,8112.65
377,981,2025-05-16,Ganada,Tarjeta de crédito,1445.99
378,982,2025-06-04,Abierta,Préstamo personal,3562.84
379,984,2025-06-25,Perdida,Cuenta sueldo,1248.34
