venta_id,oportunidad_id,cliente_id,producto_contratado,fecha_venta,monto_venta,canal_venta
1,2,780,Cuenta sueldo,2025-04-28,2700.71,Web
2,3,1026,Tarjeta de crédito,2025-05-04,2482.98,Web
3,4,1027,Cuenta sueldo,2025-04-10,3220.95,App
4,6,1174,Préstamo personal,2025-04-04,4154.6,Call center
5,7,283,Cuenta sueldo,2025-05-10,2329.43,App
6,8,139,Tarjeta de crédito,2025-04-29,2024.41,App
7,10,1222,Cuenta sueldo,2025-04-07,5979.06,App
8,11,1239,Tarjeta de crédito,2025-06-10,5239.14,Web
9,15,79,Préstamo personal,2025-06-09,8856.36,Call center
10,16,81,Tarjeta de crédito,2025-04-14,5674.5,Call center
11,18,932,Cuenta sueldo,2025-06-25,2220.13,Web
12,21,297,Cuenta sueldo,2025-04-09,1802.16,Web
13,22,1022,Cuenta sueldo,2025-05-27,4899.37,App
14,23,612,Cuenta sueldo,2025-06-05,8175.34,Presencial
15,24,1152,Cuenta sueldo,2025-04-01,5755.29,App
16,26,1495,Préstamo personal,2025-06-04,1685.85,Call center
17,27,1277,Tarjeta de crédito,2025-05-26,5789.54,Presencial
18,28,397,Tarjeta de crédito,2025-06-05,2934.71,Call center
19,29,850,Tarjeta de crédito,2025-05-19,6236.34,Web
20,30,1414,Tarjeta de crédito,2025-04-14,6298.23,Presencial
21,31,1405,Tarjeta de crédito,2025-06-02,539.64,Web
22,33,647,Préstamo personal,2025-06-20,7468.68,Call center
23,34,725,Cuenta sueldo,2025-04-28,8160.99,Web
24,35,1219,Préstamo personal,2025-04-28,3878.96,Call center
25,36,487,Préstamo personal,2025-05-31,1290.56,Presencial
26,40,411,Cuenta sueldo,2025-05-14,2340.2,Presencial
27,41,323,Préstamo personal,2025-05-03,2950.31,Presencial
28,42,653,Préstamo personal,2025-06-01,3652.74,Web
29,46,160,Préstamo personal,2025-05-30,7120.11,Call center
30,47,912,Cuenta sueldo,2025-04-28,1335.24,Call center
31,49,597,Préstamo personal,2025-05-30,4697.57,App
32,50,1392,Cuenta sueldo,2025-06-05,5686.31,Call center
33,51,64,Cuenta sueldo,2025-06-07,8222.13,Web
34,52,433,Préstamo personal,2025-06-09,4784.91,Call center
35,56,485,Cuenta sueldo,2025-04-19,8907.15,App
36,58,1401,Cuenta sueldo,2025-04-27,7036.04,Web
37,59,863,Tarjeta de crédito,2025-05-10,7251.46,Web
38,60,1279,Préstamo personal,2025-06-20,2962.36,Call center
39,64,1306,Tarjeta de crédito,2025-05-07,4370.22,App
40,67,369,Préstamo personal,2025-06-22,6679.2,App
41,71,218,Cuenta sueldo,2025-06-05,6855.26,Call center
42,75,1136,Cuenta sueldo,2025-06-18,2205.79,Presencial
43,76,921,Cuenta sueldo,2025-06-04,10569.14,Call center
