venta_id,oportunidad_id,cliente_id,producto_contratado,fecha_venta,monto_venta,canal_venta
160,264,1105,Cuenta sueldo,2025-06-07,2551.53,Presencial
161,265,906,Préstamo personal,2025-04-02,3647.84,App
162,267,510,Tarjeta de crédito,2025-04-18,2090.44,Call center
163,269,852,Cuenta sueldo,2025-06-15,4725.73,Web
164,270,1427,Tarjeta de crédito,2025-04-01,6417.84,Call center
165,271,933,Tarjeta de crédito,2025-04-30,3247.66,Web
166,275,843,Préstamo personal,2025-04-24,3598.78,Presencial
167,276,430,Cuenta sueldo,2025-06-08,2015.38,Web
168,277,768,Préstamo personal,2025-05-05,1988.0,Call center
169,282,703,Tarjeta de crédito,2025-04-23,7674.66,Call center
170,284,847,Tarjeta de crédito,2025-04-14,5175.08,App
171,285,1255,Cuenta sueldo,2025-04-16,5403.11,Presencial
172,287,1124,Cuenta sueldo,2025-04-29,7565.88,Web
173,289,773,Cuenta sueldo,2025-04-12,7160.76,Presencial
174,291,810,Préstamo personal,2025-05-04,2354.1,Presencial
175,292,1393,Tarjeta de crédito,2025-04-28,2556.78,Call center
176,293,253,Cuenta sueldo,2025-05-26,9459.25,Presencial
177,295,400,Tarjeta de crédito,2025-05-06,7401.77,Call center
178,296,1285,Cuenta sueldo,2025-05-04,10144.71,Web
179,298,194,Cuenta sueldo,2025-04-19,3282.91,App
180,299,131,Tarjeta de crédito,2025-04-04,5556.76,Web
181,302,1048,Préstamo personal,2025-06-19,6793.49,Presencial
182,303,773,Tarjeta de crédito,2025-06-03,650.63,Presencial
183,305,99,Préstamo personal,2025-04-23,5858.0,Presencial
184,306,1130,Cuenta sueldo,2025-04-14,8144.36,Call center
185,307,1163,Préstamo personal,2025-05-13,1942.73,Web
186,308,1448,Préstamo personal,2025-05-28,6229.64,Web
187,309,1472,Tarjeta de crédito,2025-05-30,4911.88,Call center
188,314,1082,Préstamo personal,2025-04-28,7797.21,Call center
189,317,15,Préstamo personal,2025-06-07,8542.65,Web
190,318,899,Tarjeta de crédito,2025-06-11,3155.73,Presencial
191,319,584,Cuenta sueldo,2025-04-26,1408.68,Call center
192,320,996,Tarjeta de crédito,2025-05-13,2978.64,Presencial
193,323,455,Tarjeta de crédito,2025-04-11,9489.72,Web
194,324,739,Préstamo personal,2025-06-03,1821.8,Web
195,325,431,Préstamo personal,2025-06-02,6789.98,Presencial
196,326,1341,Cuenta sueldo,2025-06-11,946.36,Web
197,328,894,Préstamo personal,2025-05-16,6682.19,Presencial
198,330,1052,Préstamo personal,2025-06-27,7665.19,Web
199,331,1051,Cuenta sueldo,2025-05-07,578.97,App
200,332,362,Préstamo personal,2025-05-15,9197.76,Web
201,333,906,Préstamo personal,2025-04-05,5413.01,Call center
202,336,509,Cuenta sueldo,2025-05-12,964.99,Web
203,337,415,Cuenta sueldo,2025-04-13,6699.82,Web
204,338,44,Cuenta sueldo,2025-04-17,6032.42,App
205,340,1367,Préstamo personal,2025-04-25,1999.23,Call center
206,343,683,Tarjeta de crédito,2025-04-21,7456.65,Call center
207,344,1099,Tarjeta de crédito,2025-06-24,5512.67,App
208,345,450,Cuenta sueldo,2025-06-04,8197.61,Call center
209,347,218,Tarjeta de crédito,2025-04-05,1046.79,App
210,349,691,Préstamo personal,2025-04-28,4360.05,App
211,354,334,Tarjeta de crédito,2025-06-20,2798.6,Web
212,355,729,Tarjeta de crédito,2025-05-09,4610.18,Presencial
213,356,308,Tarjeta de crédito,2025-04-03,4768.58,Web
214,359,293,Cuenta sueldo,2025-05-09,8578.73,Web
215,360,1456,Cuenta sueldo,2025-06-16,1239.72,App
216,361,254,Tarjeta de crédito,2025-06-16,10154.92,Presencial
217,362,1394,Cuenta sueldo,2025-05-01,8000.28,Call center
218,363,1398,Cuenta sueldo,2025-05-30,8011.1,Presencial
219,364,216,Préstamo personal,2025-05-14,1885.93,Web
220,365,1371,Préstamo personal,2025-05-09,8088.71,App
221,366,439,Cuenta sueldo,2025-05-16,4639.61,Call center
222,367,1368,Cuenta sueldo,2025-06-16,1258.63,Call center
223,370,385,Préstamo personal,2025-06-20,833.1,App
224,371,841,Préstamo personal,2025-06-14,4688.69,Presencial
225,374,962,Cuenta sueldo,2025-05-10,1730.83,Call center
226,375,1349,Cuenta sueldo,2025-05-28,2899.0,Call center
227,377,259,Tarjeta de crédito,2025-05-16,1447.22,App
228,380,503,Cuenta sueldo,2025-05-15,2447.35,Presencial
229,381,941,Préstamo personal,2025-06-01,1609.14,App
230,385,748,Préstamo personal,2025-05-22,2358.07,Web
231,386,422,Tarjeta de crédito,2025-06-03,3774.07,Presencial
232,387,132,Tarjeta de crédito,2025-05-03,6444.76,Call center
233,388,1322,Préstamo personal,2025-06-10,9105.97,Web
234,390,406,Préstamo personal,2025-06-03,7728.88,Web
235,392,1081,Tarjeta de crédito,2025-05-26,8179.84,Call center
236,393,806,Tarjeta de crédito,2025-06-07,6062.4,Presencial
237,395,1410,Cuenta sueldo,2025-06-19,587.2,Web
238,396,493,Préstamo personal,2025-04-04,5541.76,App
239,397,607,Tarjeta de crédito,2025-05-21,1430.1,Call center
240,398,160,Préstamo personal,2025-05-26,2247.28,Presencial
241,399,642,Tarjeta de crédito,2025-04-01,5662.72,Web
242,401,944,Cuenta sueldo,2025-04-24,2610.99,Web
243,402,888,Tarjeta de crédito,2025-05-30,4783.73,App
