ID_Ticket,Fecha_Registro,Tipo_Solicitud,Cliente_ID,Agente_ID,Tiempo_1ra_Respuesta (min),Tiempo_Resolucion (hrs),Calificacion_Cliente,Satisfaccion (%),Es_Ticket_Formal (1/0)
TCK20001,2025-02-12,Incidencia,C194,AG06,78,5.36,3,80,1
TCK20002,2025-02-19,Nueva Solicitud,C157,AG03,5,40.37,5,95,1
TCK20003,2025-02-08,Requerimiento,C187,AG01,219,34.0,1,74,0
TCK20004,2025-02-25,Incidencia,C135,AG08,34,68.36,4,98,1
TCK20005,2025-02-21,Requerimiento,C142,AG010,158,41.57,3,84,0
TCK20006,2025-02-22,Incidencia,C190,AG09,18,63.23,3,97,1
TCK20007,2025-02-16,Incidencia,C146,AG02,157,62.37,4,88,1
TCK20008,2025-02-15,Incidencia,C178,AG010,141,15.92,3,82,1
TCK20009,2025-02-24,Incidencia,C179,AG03,26,9.3,3,81,1
TCK20010,2025-02-11,Incidencia,C172,AG01,121,43.11,2,94,1
TCK20011,2025-02-01,Incidencia,C164,AG08,112,15.35,5,83,0
TCK20012,2025-02-22,Incidencia,C198,AG05,29,11.63,4,82,0
TCK20013,2025-02-27,Nueva Solicitud,C170,AG08,166,7.28,5,99,0
TCK20014,2025-02-07,Incidencia,C101,AG01,131,11.93,4,83,1
TCK20015,2025-02-25,Requerimiento,C160,AG04,114,67.94,4,91,0
TCK20016,2025-02-19,Incidencia,C136,AG02,20,37.42,3,78,1
TCK20017,2025-02-03,Incidencia,C137,AG04,224,37.29,4,83,0
TCK20018,2025-02-06,Incidencia,C106,AG01,62,35.53,3,84,1
TCK20019,2025-02-09,Requerimiento,C104,AG02,203,8.78,4,80,1
TCK20020,2025-02-07,Nueva Solicitud,C179,AG06,186,48.78,2,85,0
TCK20021,2025-02-04,Incidencia,C130,AG09,164,64.81,5,77,1
TCK20022,2025-02-09,Incidencia,C168,AG06,238,7.27,2,84,1
TCK20023,2025-02-11,Incidencia,C111,AG09,206,48.1,2,76,0
TCK20024,2025-02-22,Nueva Solicitud,C182,AG02,52,4.13,5,79,1
TCK20025,2025-02-23,Incidencia,C131,AG09,176,2.43,4,99,0
TCK20026,2025-02-11,Incidencia,C175,AG03,34,21.96,4,87,1
TCK20027,2025-02-15,Incidencia,C192,AG04,234,53.25,5,100,1
TCK20028,2025-02-07,Requerimiento,C140,AG08,65,50.61,3,95,1
TCK20029,2025-02-07,Requerimiento,C176,AG06,82,19.69,4,77,1
TCK20030,2025-02-02,Incidencia,C157,AG04,237,7.24,1,85,0
