ID_Ticket,Fecha_Registro,Tipo_Solicitud,Cliente_ID,Agente_ID,Tiempo_1ra_Respuesta (min),Tiempo_Resolucion (hrs),Calificacion_Cliente,Satisfaccion (%),Es_Ticket_Formal (1/0)
TCK30001,2025-03-21,Incidencia,C170,AG03,170,2.81,3,81,1
TCK30002,2025-03-07,Requerimiento,C152,AG03,92,52.35,5,77,1
TCK30003,2025-03-12,Requerimiento,C147,AG07,6,63.3,5,88,1
TCK30004,2025-03-16,Requerimiento,C187,AG06,130,26.75,5,98,1
TCK30005,2025-03-01,Nueva Solicitud,C146,AG07,32,6.96,4,91,1
TCK30006,2025-03-30,Incidencia,C102,AG02,42,56.12,4,91,1
TCK30007,2025-03-23,Incidencia,C167,AG02,48,71.7,3,92,1
TCK30008,2025-03-25,Incidencia,C160,AG06,239,35.2,3,84,0
TCK30009,2025-03-03,Incidencia,C150,AG05,98,28.59,5,71,1
TCK30010,2025-03-18,Requerimiento,C151,AG02,37,38.76,1,70,0
TCK30011,2025-03-22,Requerimiento,C113,AG04,159,49.93,2,87,1
TCK30012,2025-03-29,Incidencia,C126,AG09,84,9.7,5,81,1
TCK30013,2025-03-04,Nueva Solicitud,C153,AG03,5,62.86,5,95,1
TCK30014,2025-03-24,Incidencia,C102,AG04,48,1.61,5,99,0
TCK30015,2025-03-03,Incidencia,C147,AG03,147,53.89,3,92,0
TCK30016,2025-03-01,Nueva Solicitud,C139,AG05,203,32.13,4,90,1
TCK30017,2025-03-04,Nueva Solicitud,C108,AG01,171,53.44,5,100,1
TCK30018,2025-03-09,Nueva Solicitud,C122,AG01,213,43.44,3,84,1
TCK30019,2025-03-05,Requerimiento,C154,AG04,181,50.3,3,90,1
TCK30020,2025-03-23,Nueva Solicitud,C130,AG08,147,67.2,3,85,1
TCK30021,2025-03-19,Nueva Solicitud,C167,AG05,88,67.21,5,79,1
TCK30022,2025-03-19,Requerimiento,C193,AG05,183,15.21,5,86,1
TCK30023,2025-03-28,Incidencia,C185,AG04,196,30.19,3,82,1
TCK30024,2025-03-18,Incidencia,C180,AG07,177,29.73,5,85,1
TCK30025,2025-03-21,Incidencia,C194,AG04,43,26.8,5,83,1
TCK30026,2025-03-23,Nueva Solicitud,C180,AG09,167,71.18,3,72,1
TCK30027,2025-03-14,Incidencia,C118,AG010,15,23.18,4,87,1
TCK30028,2025-03-05,Incidencia,C144,AG010,13,2.89,4,100,1
TCK30029,2025-03-15,Requerimiento,C151,AG02,80,6.46,4,100,1
TCK30030,2025-03-06,Requerimiento,C112,AG04,99,67.32,3,86,0
TCK30031,2025-03-21,Requerimiento,C140,AG08,228,11.37,3,86,0
TCK30032,2025-03-24,Incidencia,C141,AG03,130,21.7,5,85,1
TCK30033,2025-03-22,Nueva Solicitud,C164,AG07,106,14.69,4,77,1
TCK30034,2025-03-07,Nueva Solicitud,C111,AG07,160,68.14,3,77,1
TCK30035,2025-03-30,Requerimiento,C162,AG01,173,52.48,5,82,1
TCK30036,2025-03-25,Requerimiento,C154,AG03,113,66.09,5,80,1
TCK30037,2025-03-03,Incidencia,C196,AG010,194,32.13,2,71,0
TCK30038,2025-03-29,Incidencia,C106,AG07,78,68.61,4,77,1
TCK30039,2025-03-11,Requerimiento,C161,AG07,185,71.08,5,75,1
TCK30040,2025-03-03,Incidencia,C177,AG07,224,24.36,5,81,0
TCK30041,2025-03-03,Incidencia,C179,AG01,191,13.38,5,78,1
TCK30042,2025-03-30,Incidencia,C119,AG05,105,29.18,2,87,1
TCK30043,2025-03-12,Incidencia,C134,AG07,82,28.28,4,91,0
TCK30044,2025-03-19,Requerimiento,C154,AG08,230,24.35,1,75,0
TCK30045,2025-03-25,Incidencia,C179,AG05,30,70.65,3,85,0
TCK30046,2025-03-07,Requerimiento,C100,AG02,239,32.81,5,99,0
TCK30047,2025-03-29,Incidencia,C149,AG09,11,62.11,5,79,1
TCK30048,2025-03-28,Incidencia,C115,AG06,59,6.53,3,70,1
TCK30049,2025-03-08,Incidencia,C106,AG07,142,6.74,4,91,1
TCK30050,2025-03-01,Incidencia,C173,AG03,240,67.9,5,78,1
TCK30051,2025-03-30,Nueva Solicitud,C192,AG02,22,44.31,5,74,1
TCK30052,2025-03-14,Incidencia,C121,AG08,29,7.55,5,82,1
TCK30053,2025-03-07,Nueva Solicitud,C142,AG06,59,20.44,1,89,1
TCK30054,2025-03-21,Incidencia,C169,AG08,145,16.47,5,90,0
TCK30055,2025-03-15,Requerimiento,C131,AG06,86,18.72,5,90,1
TCK30056,2025-03-04,Nueva Solicitud,C129,AG02,103,63.68,2,80,1
TCK30057,2025-03-12,Requerimiento,C136,AG07,188,48.35,3,92,0
TCK30058,2025-03-20,Incidencia,C189,AG07,92,22.26,3,76,1
TCK30059,2025-03-15,Incidencia,C136,AG01,32,61.1,4,71,1
TCK30060,2025-03-03,Nueva Solicitud,C104,AG09,231,17.77,5,78,1
TCK30061,2025-03-12,Incidencia,C183,AG01,189,50.4,5,71,0
TCK30062,2025-03-16,Incidencia,C158,AG02,180,64.68,4,83,1
TCK30063,2025-03-26,Requerimiento,C113,AG09,111,72.0,2,74,1
TCK30064,2025-03-27,Incidencia,C102,AG07,224,5.82,1,91,1
TCK30065,2025-03-12,Requerimiento,C123,AG02,117,47.98,5,73,1
TCK30066,2025-03-17,Incidencia,C151,AG010,29,58.25,4,86,0
TCK30067,2025-03-04,Incidencia,C173,AG02,109,38.51,3,83,1
TCK30068,2025-03-01,Incidencia,C143,AG05,71,37.83,4,100,1
TCK30069,2025-03-03,Nueva Solicitud,C141,AG05,178,1.45,5,82,1
TCK30070,2025-03-29,Incidencia,C176,AG08,35,70.46,5,77,1
TCK30071,2025-03-03,Requerimiento,C185,AG02,21,34.71,4,88,1
TCK30072,2025-03-29,Requerimiento,C189,AG03,99,43.39,5,78,0
TCK30073,2025-03-26,Incidencia,C138,AG010,239,12.37,5,84,0
TCK30074,2025-03-05,Incidencia,C160,AG09,198,22.1,4,93,1
TCK30075,2025-03-08,Incidencia,C167,AG01,14,43.94,4,88,1
TCK30076,2025-03-30,Incidencia,C189,AG01,226,24.77,3,87,0
TCK30077,2025-03-22,Incidencia,C175,AG01,64,58.86,3,78,1
TCK30078,2025-03-23,Incidencia,C140,AG09,224,55.75,2,75,0
TCK30079,2025-03-10,Incidencia,C158,AG09,63,24.29,3,95,1
TCK30080,2025-03-28,Nueva Solicitud,C124,AG03,116,54.5,4,71,1
TCK30081,2025-03-20,Incidencia,C108,AG07,15,21.58,1,94,0
TCK30082,2025-03-02,Requerimiento,C198,AG06,29,34.9,5,87,1
TCK30083,2025-03-08,Nueva Solicitud,C171,AG06,161,62.04,5,100,0
TCK30084,2025-03-12,Requerimiento,C109,AG05,170,4.9,2,89,1
TCK30085,2025-03-22,Incidencia,C149,AG02,236,2.31,2,85,1
TCK30086,2025-03-27,Incidencia,C131,AG01,202,52.98,3,73,1
TCK30087,2025-03-17,Incidencia,C188,AG03,127,30.27,1,81,1
TCK30088,2025-03-16,Nueva Solicitud,C143,AG06,231,59.58,5,87,1
TCK30089,2025-03-24,Requerimiento,C179,AG03,182,22.33,5,75,1
TCK30090,2025-03-08,Requerimiento,C165,AG01,215,45.0,5,99,1
TCK30091,2025-03-09,Nueva Solicitud,C155,AG05,19,10.42,3,72,1
TCK30092,2025-03-05,Nueva Solicitud,C126,AG02,169,52.81,1,70,1
TCK30093,2025-03-04,Incidencia,C153,AG010,22,16.07,4,84,1
TCK30094,2025-03-14,Incidencia,C106,AG09,110,57.98,4,89,0
TCK30095,2025-03-21,Requerimiento,C184,AG02,158,27.72,4,91,1
TCK30096,2025-03-10,Incidencia,C185,AG010,209,10.56,4,86,1
TCK30097,2025-03-14,Requerimiento,C119,AG04,45,4.04,4,91,1
TCK30098,2025-03-27,Incidencia,C169,AG010,109,41.35,1,95,1
TCK30099,2025-03-29,Incidencia,C109,AG08,218,29.13,3,74,1
